"","x"
"1","EHBP1"
"2","LOC100996485"
"3","MIR4482-1"
"4","TMEM186"
"5","HAND2"
"6","CDSN"
"7","HLA-DRB5"
"8","GALNT2"
"9","LEPR"
"10","LEPROT"
"11","LGR6"
"12","LHX8"
"13","NAV1"
"14","RASSF5"
"15","RPRD2"
"16","SLC45A1"
"17","UCK2"
"18","CACNB2"
"19","MXI1"
"20","NCOA4"
"21","RBM20"
"22","ZNF487"
"23","KCNJ5"
"24","LDHAL6A"
"25","LDLRAD3"
"26","PTPRJ"
"27","AQP2"
"28","BTBD11"
"29","IQSEC3"
"30","WNT5B"
"31","WSCD2"
"32","ATP8A2"
"33","UBAC2"
"34","NRXN3"
"35","PAX9"
"36","SMOC1"
"37","FGF7"
"38","GLDN"
"39","SEMA6D"
"40","ABAT"
"41","HSD17B2"
"42","WWOX"
"43","ZFPM1"
"44","KAT7"
"45","NBR1"
"46","TMEM220-AS1"
"47","CRTC1"
"48","FXYD1"
"49","IGFL2"
"50","MAST1"
"51","PLK5"
"52","RGS9BP"
"53","SLC44A2"
"54","TLE6"
"55","ATP6V1B1"
"56","C2orf27A"
"57","CPS1"
"58","ITGA6"
"59","KCNK3"
"60","SOX11"
"61","TRAPPC12"
"62","RTEL1-TNFRSF6B"
"63","SMOX"
"64","SIM2"
"65","GRAMD4"
"66","ARL8B"
"67","PTPRG"
"68","ST3GAL6"
"69","TF"
"70","FIP1L1"
"71","LOC93622"
"72","PDE6B"
"73","PDLIM5"
"74","RBPJ"
"75","SHISA3"
"76","SORCS2"
"77","DOCK2"
"78","FABP6"
"79","MATR3"
"80","PCDHA1"
"81","PCDHA2"
"82","PCDHA3"
"83","PCDHA4"
"84","PCDHA5"
"85","PCDHA6"
"86","PCDHA7"
"87","RAI14"
"88","TNFAIP8"
"89","EYA4"
"90","ITPR3"
"91","JARID2"
"92","MLLT4"
"93","PSORS1C1"
"94","RUNX2"
"95","SMOC2"
"96","TFAP2B"
"97","ZSCAN12P1"
"98","EPDR1"
"99","GRM3"
"100","SDK1"
"101","SND1"
"102","MSRA"
"103","OSR2"
"104","PVT1"
"105","TERF1"
"106","C9orf135"
"107","RXRA"
"108","AKR7A2"
"109","DENND2D"
"110","DMRTA2"
"111","GREM2"
"112","NPHP4"
"113","TNFSF4"
"114","TRIM62"
"115","ADARB2"
"116","DLG5"
"117","TTC40"
"118","IGSF9B"
"119","LRRC32"
"120","MPZL3"
"121","MRVI1"
"122","NRXN2"
"123","CCDC92"
"124","GALNT9"
"125","GOLGA3"
"126","ST8SIA1"
"127","TMEM132D"
"128","TSPAN8"
"129","CRYL1"
"130","EFNB2"
"131","MIR548AN"
"132","CLMN"
"133","DTD2"
"134","SLC25A29"
"135","FAM227B"
"136","MEIS2"
"137","MYO5C"
"138","GRIN2A"
"139","HAGH"
"140","IFT140"
"141","IGFALS"
"142","LMF1"
"143","SLC7A5"
"144","TAF1C"
"145","ZDHHC7"
"146","ZSCAN10"
"147","ABR"
"148","ANKFY1"
"149","KANSL1"
"150","NXN"
"151","TBC1D28"
"152","WNT3"
"153","FCGBP"
"154","VN1R1"
"155","AFF3"
"156","CLASP1"
"157","HDLBP"
"158","LOC100132215"
"159","MYT1L"
"160","PXDN"
"161","RESP18"
"162","SDPR"
"163","SERTAD2"
"164","ST3GAL5"
"165","C20orf194"
"166","LRRN4"
"167","RNF24"
"168","TAF4"
"169","CENPM"
"170","PMM1"
"171","ABCC5"
"172","EIF4E3"
"173","HEG1"
"174","MCCC1"
"175","USP4"
"176","AFAP1"
"177","ASIC5"
"178","GAK"
"179","SPON2"
"180","H2AFY"
"181","IRX4"
"182","KIAA0825"
"183","LMAN2"
"184","LPCAT1"
"185","SEMA5A"
"186","EXOC2"
"187","HLA-DQB2"
"188","HLA-DRB6"
"189","LTB"
"190","MAN1A1"
"191","MAP7"
"192","MDGA1"
"193","PPP1R10"
"194","TDP2"
"195","C7orf50"
"196","CAMK2B"
"197","DOCK4"
"198","FAM115A"
"199","HEPACAM2"
"200","HOXA1"
"201","MAD1L1"
"202","PRKAG2"
"203","PTPRN2"
"204","SEMA3E"
"205","ZFAND2A"
"206","MFHAS1"
"207","NCALD"
"208","RAD54B"
"209","SCARA5"
"210","TRAPPC9"
"211","KIAA1614"
"212","PALMD"
"213","PQLC2"
"214","SHISA4"
"215","ZC3H11A"
"216","GSTO2"
"217","ARL14EP"
"218","FDX1"
"219","MS4A8"
"220","SCGB2A2"
"221","LINC00942"
"222","MYF5"
"223","MEF2A"
"224","PARD6G-AS1"
"225","AURKC"
"226","EPS8L1"
"227","FPR2"
"228","FXYD7"
"229","NRTN"
"230","RBM45"
"231","TNFRSF6B"
"232","AIRE"
"233","MOV10L1"
"234","ST6GAL1"
"235","PCDHA8"
"236","SLC29A1"
"237","HOTAIRM1"
"238","ERICH1-AS1"
"239","TEK"
"240","AIM2"
"241","FAIM3"
"242","ANO9"
"243","C11orf45"
"244","CHORDC1"
"245","OR52L1"
"246","GRIP1"
"247","MIS18BP1"
"248","PYGO1"
"249","PRSS30P"
"250","C17orf98"
"251","TMEM220"
"252","PNMAL1"
"253","ZIM3"
"254","FAM124B"
"255","RGPD5"
"256","RGPD8"
"257","RAB6B"
"258","HOPX"
"259","CD74"
"260","CDO1"
"261","POU5F1"
"262","PSORS1C3"
"263","THBS2"
"264","PHKG1"
"265","TNRC18"
"266","TMEM71"
"267","None"
